name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_BellmanFord/1400/4600/iterations:100",100,1.14559e+08,1.14484e+08,ns,,,,,
"BM_BellmanFord/1400/4700/iterations:100",100,1.14594e+08,1.14519e+08,ns,,,,,
"BM_BellmanFord/1400/4800/iterations:100",100,1.19161e+08,1.19084e+08,ns,,,,,
"BM_BellmanFord/1400/4900/iterations:100",100,1.23224e+08,1.23146e+08,ns,,,,,
"BM_BellmanFord/1400/5000/iterations:100",100,1.22051e+08,1.21974e+08,ns,,,,,
"BM_BellmanFord/1500/4000/iterations:100",100,1.03339e+08,1.03274e+08,ns,,,,,
"BM_BellmanFord/1500/4100/iterations:100",100,1.09376e+08,1.09309e+08,ns,,,,,
"BM_BellmanFord/1500/4200/iterations:100",100,1.09932e+08,1.0986e+08,ns,,,,,
"BM_BellmanFord/1500/4300/iterations:100",100,1.12405e+08,1.1233e+08,ns,,,,,
"BM_BellmanFord/1500/4400/iterations:100",100,1.18073e+08,1.17998e+08,ns,,,,,
"BM_BellmanFord/1500/4500/iterations:100",100,1.21437e+08,1.21356e+08,ns,,,,,
"BM_BellmanFord/1500/4600/iterations:100",100,1.22729e+08,1.2265e+08,ns,,,,,
"BM_BellmanFord/1500/4700/iterations:100",100,1.2585e+08,1.25772e+08,ns,,,,,
"BM_BellmanFord/1500/4800/iterations:100",100,1.27111e+08,1.27038e+08,ns,,,,,
"BM_BellmanFord/1500/4900/iterations:100",100,1.29247e+08,1.29167e+08,ns,,,,,
"BM_BellmanFord/1500/5000/iterations:100",100,1.33489e+08,1.33404e+08,ns,,,,,
"BM_BellmanFord/1600/4000/iterations:100",100,1.11516e+08,1.11442e+08,ns,,,,,
"BM_BellmanFord/1600/4100/iterations:100",100,1.17065e+08,1.16996e+08,ns,,,,,
"BM_BellmanFord/1600/4200/iterations:100",100,1.16828e+08,1.16754e+08,ns,,,,,
"BM_BellmanFord/1600/4300/iterations:100",100,1.20012e+08,1.19945e+08,ns,,,,,
"BM_BellmanFord/1600/4400/iterations:100",100,1.23849e+08,1.23774e+08,ns,,,,,
"BM_BellmanFord/1600/4500/iterations:100",100,1.29519e+08,1.29433e+08,ns,,,,,
"BM_BellmanFord/1600/4600/iterations:100",100,1.30551e+08,1.30472e+08,ns,,,,,
"BM_BellmanFord/1600/4700/iterations:100",100,1.32127e+08,1.32049e+08,ns,,,,,
"BM_BellmanFord/1600/4800/iterations:100",100,1.35478e+08,1.35396e+08,ns,,,,,
"BM_BellmanFord/1600/4900/iterations:100",100,1.40066e+08,1.39978e+08,ns,,,,,
"BM_BellmanFord/1600/5000/iterations:100",100,1.44871e+08,1.44786e+08,ns,,,,,
"BM_BellmanFord/1700/4000/iterations:100",100,1.16624e+08,1.16551e+08,ns,,,,,
"BM_BellmanFord/1700/4100/iterations:100",100,1.23137e+08,1.23063e+08,ns,,,,,
"BM_BellmanFord/1700/4200/iterations:100",100,1.28032e+08,1.27949e+08,ns,,,,,
"BM_BellmanFord/1700/4300/iterations:100",100,1.29102e+08,1.29022e+08,ns,,,,,
"BM_BellmanFord/1700/4400/iterations:100",100,1.28146e+08,1.2807e+08,ns,,,,,
"BM_BellmanFord/1700/4500/iterations:100",100,1.36083e+08,1.36003e+08,ns,,,,,
"BM_BellmanFord/1700/4600/iterations:100",100,1.41924e+08,1.41838e+08,ns,,,,,
"BM_BellmanFord/1700/4700/iterations:100",100,1.43904e+08,1.43814e+08,ns,,,,,
"BM_BellmanFord/1700/4800/iterations:100",100,1.44398e+08,1.44311e+08,ns,,,,,
"BM_BellmanFord/1700/4900/iterations:100",100,1.4711e+08,1.47019e+08,ns,,,,,
"BM_BellmanFord/1700/5000/iterations:100",100,1.52305e+08,1.52208e+08,ns,,,,,
"BM_BellmanFord/1800/4000/iterations:100",100,1.28581e+08,1.28501e+08,ns,,,,,
"BM_BellmanFord/1800/4100/iterations:100",100,1.27716e+08,1.27643e+08,ns,,,,,
"BM_BellmanFord/1800/4200/iterations:100",100,1.3034e+08,1.30264e+08,ns,,,,,
"BM_BellmanFord/1800/4300/iterations:100",100,1.3376e+08,1.33675e+08,ns,,,,,
"BM_BellmanFord/1800/4400/iterations:100",100,1.38578e+08,1.38485e+08,ns,,,,,
"BM_BellmanFord/1800/4500/iterations:100",100,1.4304e+08,1.42947e+08,ns,,,,,
"BM_BellmanFord/1800/4600/iterations:100",100,1.45781e+08,1.4569e+08,ns,,,,,
"BM_BellmanFord/1800/4700/iterations:100",100,1.47524e+08,1.47424e+08,ns,,,,,
"BM_BellmanFord/1800/4800/iterations:100",100,1.55959e+08,1.55859e+08,ns,,,,,
"BM_BellmanFord/1800/4900/iterations:100",100,1.57645e+08,1.57535e+08,ns,,,,,
"BM_BellmanFord/1800/5000/iterations:100",100,1.62157e+08,1.62048e+08,ns,,,,,
"BM_BellmanFord/1900/4000/iterations:100",100,1.33024e+08,1.32939e+08,ns,,,,,
"BM_BellmanFord/1900/4100/iterations:100",100,1.37429e+08,1.3734e+08,ns,,,,,
"BM_BellmanFord/1900/4200/iterations:100",100,1.38826e+08,1.38734e+08,ns,,,,,
"BM_BellmanFord/1900/4300/iterations:100",100,1.43662e+08,1.43567e+08,ns,,,,,
"BM_BellmanFord/1900/4400/iterations:100",100,1.5071e+08,1.50611e+08,ns,,,,,
"BM_BellmanFord/1900/4500/iterations:100",100,1.50995e+08,1.50892e+08,ns,,,,,
"BM_BellmanFord/1900/4600/iterations:100",100,1.55824e+08,1.55722e+08,ns,,,,,
"BM_BellmanFord/1900/4700/iterations:100",100,1.5744e+08,1.57339e+08,ns,,,,,
"BM_BellmanFord/1900/4800/iterations:100",100,1.6071e+08,1.60601e+08,ns,,,,,
"BM_BellmanFord/1900/4900/iterations:100",100,1.66641e+08,1.66528e+08,ns,,,,,
"BM_BellmanFord/1900/5000/iterations:100",100,1.70602e+08,1.70484e+08,ns,,,,,
"BM_BellmanFord/2000/4000/iterations:100",100,1.38301e+08,1.38217e+08,ns,,,,,
"BM_BellmanFord/2000/4100/iterations:100",100,1.41665e+08,1.41577e+08,ns,,,,,
"BM_BellmanFord/2000/4200/iterations:100",100,1.45325e+08,1.45231e+08,ns,,,,,
"BM_BellmanFord/2000/4300/iterations:100",100,1.46497e+08,1.46395e+08,ns,,,,,
"BM_BellmanFord/2000/4400/iterations:100",100,1.53387e+08,1.53281e+08,ns,,,,,
"BM_BellmanFord/2000/4500/iterations:100",100,1.55675e+08,1.55573e+08,ns,,,,,
"BM_BellmanFord/2000/4600/iterations:100",100,1.59101e+08,1.58998e+08,ns,,,,,
"BM_BellmanFord/2000/4700/iterations:100",100,1.67362e+08,1.67245e+08,ns,,,,,
"BM_BellmanFord/2000/4800/iterations:100",100,1.68527e+08,1.68414e+08,ns,,,,,
"BM_BellmanFord/2000/4900/iterations:100",100,1.77089e+08,1.76975e+08,ns,,,,,
"BM_BellmanFord/2000/5000/iterations:100",100,1.75583e+08,1.75464e+08,ns,,,,,
